id,topic
880723870755500032,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880713771991396354,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880712260146036736,https://www.snopes.com/fact-check/veal-crates/
880711323583119361,https://www.snopes.com/fact-check/did-mad-magazine-publish-a-trump-cartoon-in-1992/
880701501781442560,https://www.snopes.com/fact-check/a-truckin-miracle/
880700836984365057,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880698168865935361,https://www.snopes.com/fact-check/bill-gates-vaccinations-depopulation/
880697379258863616,https://www.snopes.com/fact-check/huckabee-son-dog/
880690774987476992,https://www.snopes.com/fact-check/black-carded/
880689320763510786,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880689068224499713,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880688538311954437,https://www.snopes.com/fact-check/trackdown-trump-character-wall/
880687597273706496,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880687453086117889,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880687180879933440,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880687150597013505,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880687045013909505,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880686746635300864,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880684536992067584,https://www.snopes.com/fact-check/trump-fake-time-covers/
880682338073677826,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880680640466878464,https://www.snopes.com/fact-check/did-mad-magazine-publish-a-trump-cartoon-in-1992/
880675323146366978,https://www.snopes.com/fact-check/phone-home/
880675284277755904,https://www.snopes.com/fact-check/phone-home/
880667455898750976,https://www.snopes.com/fact-check/nunes-flynn-turkey-meeting/
880667389158936577,https://www.snopes.com/fact-check/nunes-flynn-turkey-meeting/
880667124955574272,https://www.snopes.com/fact-check/nunes-flynn-turkey-meeting/
880663554684313600,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880662360779890688,https://www.snopes.com/fact-check/social-media-hacker-warning/
880661959959511041,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880657059678736386,https://www.snopes.com/fact-check/hillary-clinton-uranium-russia-deal/
880656311913938947,https://www.snopes.com/fact-check/hillary-clinton-uranium-russia-deal/
880655356317372420,https://www.snopes.com/fact-check/mitch-mcconnell-polio-government-healthcare/
880655029052608512,https://www.snopes.com/fact-check/women-retain-dna/
880653986554105857,https://www.snopes.com/fact-check/steve-jobs-father/
880652786182103040,https://www.snopes.com/fact-check/trump-fake-time-covers/
880651098733805571,https://www.snopes.com/fact-check/steve-jobs-father/
